Country,ISO,submission,submission_label,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Afghanistan,AFG,Only First NDC,Only First NDC,,First NDC,First NDC,11/23/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/15/2017,,Yes,Yes,4/22/2016,0.06%,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Albania commits to reducing its emissions by 20.9% by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-05/Test_ndc.pdf"">Albania First NDC (Updated submission</a>",10/12/2021,,,,,,,,,,,,,,,
Algeria,DZA,Only First NDC,Only First NDC,,First NDC,First NDC,10/20/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/20/2016,,Yes,Yes,4/22/2016,0.57%,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,11/8/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/24/2017,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Andorra commits to reducing its emissions by 55% by 2030 compared to BAU. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-11/20222410_Actualitzacio%20NDC.pdf"">Andorra 2022 NDC Update</a>",11/8/2022,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf"">The Long-Term Strategy on Energy and Climate Change</a> (11/10/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualitzaci%C3%B3%20NDC.pdf"">Andorra Updated First NDC</a> (5/19/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Angola,AGO,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/30/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/16/2020,,Yes,Yes,4/22/2016,0.26%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Angola commits to reduce emissions by 14% (unconditional) and an additional 10% (conditional) by 2025, compared to the BAU scenario.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC Angola.pdf"">Angola First NDC (Updated submission)</a>",5/30/2021,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,9/2/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Antigua and Barbuda commits to sectoral targets for electricity and transport secotrs, in addition to targets commited in its 2015 NDC.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/ATG - UNFCCC NDC - 2021-09-02 - Final.pdf"">Antigua and Barbuda First NDC (Updated submission)</a>",9/2/2021,In Policy Document (9/2/2021),Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf"">ANTIGUA AND BARBUDA UPDATED NATIONALLY DETERMINED CONTRIBUTION</a> (9/2/2021)",2040,Target Year Before 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Argentina,ARG,2020 NDC (Second NDC),New or Updated NDC,Second NDC,Updated Second NDC,Second NDC,11/2/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.80%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Argentina commits to an economy wide unconditional cap net emissions of 349 MtCO2e in 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-05/Actualizacio%CC%81n meta de emisiones 2030.pdf"">Argentina Second NDC (Updated submission)</a>",11/2/2021,In Policy Document (11/6/2022)<br>In Political Pledge (12/12/2020),Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/Estrategia%20de%20desarrollo%20resiliente%20con%20bajas%20emisiones%20a%20largo%20plazo%20a%202050.pdf"">Strategy for Resilient Development with Long-term Low Emissions to 2050</a> (11/6/22); <a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Armenia,ARM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/23/2017,,Yes,Yes,9/20/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Armenia commits to reduce GHG emissions by 40% by 2030, compared to 1990 level.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC of Republic of Armenia  2021-2030.pdf"">Armenia First NDC (Updated submission)</a>",5/5/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf"">NATIONALLY DETERMINED CONTRIBUTION 2021-2030 OF THE REPUBLIC OF ARMENIA</a> (4/22/2021)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Australia,AUS,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,6/16/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/9/2016,,Yes,Yes,4/22/2016,1.22%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Australia commits to reducing its greenhouse gas emissions 43% below 2005 levels by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Australias NDC June 2022 Update %283%29.pdf"">Australia 2022 NDC Update</a>",6/16/2022,In Law (9/8/2022); In Policy Document (10/16/2021) ,Net-zero Target in Law,"<a href=""https://parlinfo.aph.gov.au/parlInfo/download/legislation/bills/r6886_first-reps/toc_pdf/2261b01.pdf;fileType=application%2Fpdf"">Climate Change (Consequential Amendments) Bill 2022 </a> (9/8/2022); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf"">Australia First NDC (Updated submission)</a>  (10/28/2021); <a href=""https://www.industry.gov.au/sites/default/files/October%202021/document/australias-long-term-emissions-reduction-plan.pdf"">Australia's Long-term Emissions Reduction Plan</a> (10/16/2021)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Separate Net and Gross Targets,Separate Net and Gross Targets
Austria,AUT,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.14%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Austria)</a>",12/17/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf"">Long-Term Strategy 2050 - Austria</a> (11/12/2020); <br><a href=""https://www.dieneuevolkspartei.at/Download/Regierungsprogramm_2020.pdf"">Integrated National Energy and Climate Plan for Austria</a> (2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Included,International Shipping and Aviation Included,Net Target Only,Net Target Only
